stateCode;StateName;pop2000;pop2010;pop2018
CA;Californie;33871648;37253956;39557045
TX;Texas;20851820;25145561;28701845
FL;Floride;15982378;18801310;21299325
NY;New York;18976457;19378102;19542209
PE;Pennsylvanie;12281054;12702379;12807060
IL;Illinois;12419293;12830632;12741080
OH;Ohio;11353140;11536504;11689442
GA;G‚orgie;8186453;9687653;10519475
NC;Caroline du Nord;8049313;9535483;10383620
MI;Michigan;9938444;9883640;9995915
NJ;New Jersey;8414350;8791894;8908520
VA;Virginie;7078515;8001024;8517685
WA;Washington;5894121;6724540;7535591
AZ;Arizona;5130632;6392017;7171646
MA;Massachusetts;6349097;6547629;6902149
TN;Tennessee;5689283;6346105;6770010
IN;Indiana;6080485;6483802;6691878
MO;Missouri;5595211;5988927;6126452
MD;Maryland;5296486;5773552;6042718
WI;Wisconsin;5363675;5686986;5813568
CO;Colorado;4301261;5029196;5695564
MN;Minnesota;4919479;5303925;5611179
SC;Caroline du Sud;4012012;4625364;5084127
AL;Alabama;4447100;4779736;4887871
LA;Louisiane;4468976;4533372;4659978
KY;Kentucky;4041769;4339367;4468402
OR;Oregon;3421399;3831074;4190713
OK;Oklahoma;3450654;3751351;3943079
CT;Connecticut;3405565;3574097;3572665
UT;Utah;2233169;2763885;3161105
IA;Iowa;2926324;3046355;3156145
NV;Nevada;1998257;2700551;3034392
AR;Arkansas;2673400;2915918;3013825
MS;Mississippi;2844658;2967297;2986530
KS;Kansas;2688418;2853118;2911505
NM;Nouveau-Mexique;1819046;2059179;2095428
NE;Nebraska;1711263;1826341;1929268
WV;Virginie-Occidentale;1808344;1852994;1805832
ID;Idaho;1293953;1567582;1754208
HI;Hawa‹;1211537;1360301;1420491
NH;New Hampshire;1235786;1316470;1356458
ME;Maine;1274923;1328361;1338404
MT;Montana;904433;989415;1062305
RI;Rhode Island;1048319;1052567;1057315
DE;Delaware;783600;897934;967171
SD;Dakota du Sud;754844;814180;882235
ND;Dakota du Nord;642200;672591;760077
AL;Alaska;626932;710231;737438
WA;Washington D.C.;572059;601723;702455
VT;Vermont;608827;625741;626299
WY;Wyoming;493782;563626;577737
